Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,population,gene_set_db
prerank,HALLMARK_COAGULATION,-0.5257783386634449,-1.0454660929362636,0.43004115226337447,0.6877703902727811,1.0,12/50,11.93%,CTSH;C2;APOC1;CPB2;LGMN;SERPINA1;SERPING1;F3;CD9;BMP1;ANG;LAMP2,KRT8+ DATP,Hallmark
prerank,HALLMARK_INFLAMMATORY_RESPONSE,-0.5246422028833141,-1.0284477566149133,0.451417004048583,0.7185135935151873,1.0,6/62,7.18%,LAMP3;NFKBIA;CSF3R;BTG2;RGS16;F3,KRT8+ DATP,Hallmark
prerank,HALLMARK_APICAL_JUNCTION,-0.5039563012505026,-0.9932477640822343,0.5141700404858299,0.7972357575481579,1.0,8/61,11.78%,CLDN18;INSIG1;TSPAN4;ALOX15B;ARPC2;BMP1;MVD;HADH,KRT8+ DATP,Hallmark
prerank,HALLMARK_SPERMATOGENESIS,-0.5028737140058057,-0.9673768915838878,0.5588865096359743,0.8446043383882084,1.0,1/21,2.47%,PEBP1,KRT8+ DATP,Hallmark
prerank,HALLMARK_MYC_TARGETS_V2,-0.49971456914983425,-0.9547941945013328,0.5769230769230769,0.8486920429631846,1.0,4/20,19.35%,TMEM97;HK2;CDK4;DDX18,KRT8+ DATP,Hallmark
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.4856575170011309,-0.9463809808563879,0.6232179226069247,0.8414129152919784,1.0,11/36,21.92%,CSF3R;CD36;JUN;CD9;HAX1;CXCL3;IL6ST;CD44;TLR2;SOCS3;HMOX1,KRT8+ DATP,Hallmark
prerank,HALLMARK_DNA_REPAIR,-0.46047447390317103,-0.929938275761834,0.6577319587628866,0.8540962703219637,1.0,21/85,21.88%,AK1;POLR2C;ELOA;SURF1;GPX4;POLR2G;POLR2J;ARL6IP1;COX17;POLR2K;APRT;POLR1D;NME3;GTF2A2;DUT;POLR3GL;EIF1B;DAD1;PCNA;GTF2H5;NELFE,KRT8+ DATP,Hallmark
prerank,HALLMARK_ANDROGEN_RESPONSE,-0.4559425445808305,-0.9128175232901115,0.6611570247933884,0.8656748867757948,1.0,18/60,10.14%,DBI;SELENOP;SCD;IDI1;INSIG1;B2M;FADS1;DHCR24;HMGCS1;HMGCR;GPD1L;DNAJB9;SAT1;CCND3;LIFR;NDRG1;GUCY1A1;TSC22D1,KRT8+ DATP,Hallmark
prerank,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.45471143496155875,-0.9118482252740668,0.6937119675456389,0.8405095860467235,1.0,16/68,21.04%,RPS14;HERPUD1;XBP1;SERP1;DNAJB9;ATP6V0D1;SPCS1;EIF4A2;CKS1B;CEBPB;EEF2;CALR;SLC30A5;EIF4A3;IMP3;EIF4A1,KRT8+ DATP,Hallmark
prerank,HALLMARK_GLYCOLYSIS,-0.43820052713378066,-0.8813068417497427,0.7520491803278688,0.8716575104844152,1.0,30/90,30.63%,CYB5A;CITED2;ALDH9A1;ALDOA;GALE;HK2;HAX1;ANG;SDC2;NDUFV3;MDH1;LDHA;CD44;RRAGD;GPC4;GFPT1;PGLS;NSDHL;PGK1;CHPF;IER3;NOL3;TPST1;SDHC;AKR1A1;B3GAT3;P4HA1;PGAM1;PPIA;MDH2,KRT8+ DATP,Hallmark
