gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
NAALADL2,ENSG00000177694,2.108,4.7152990633319456e-07,1.537017200780579e-06,0.5893,0.1366,0.274,0.07
CCDC12,ENSG00000160799,-1.3774,4.822414212158177e-07,1.5711660742929007e-06,0.1846,0.4797,0.095,0.313
PTBP1,ENSG00000011304,-1.5554,4.891935325592041e-07,1.5930392998356528e-06,0.145,0.4264,0.07,0.282
NXN,ENSG00000167693,2.0563,4.926094523861812e-07,1.6033813511146707e-06,0.6599,0.1586,0.289,0.101
TMEM106B,ENSG00000106460,-2.9158,4.970185161828093e-07,1.6169443105625833e-06,0.0477,0.3609,0.04,0.242
AK6,ENSG00000085231,-5.1111,5.015439867322377e-07,1.630872583926298e-06,0.0088,0.3079,0.005,0.212
MOCS2,ENSG00000164172,-2.7813,5.027797303657578e-07,1.6340952891060321e-06,0.0511,0.3519,0.03,0.237
ORMDL1,ENSG00000128699,-1.4622,5.041168438285136e-07,1.6376441633903903e-06,0.1739,0.4793,0.1,0.314
SNHG15,ENSG00000232956,-4.3262,5.056745614256986e-07,1.6419058802927764e-06,0.0164,0.3315,0.015,0.219
COA6,ENSG00000168275,-3.7458,5.082281593310318e-07,1.6493954694713127e-06,0.0236,0.3182,0.01,0.217
SUMF2,ENSG00000129103,-1.7882,5.233840307312599e-07,1.6977571351404005e-06,0.1264,0.4367,0.08,0.286
TWF1,ENSG00000151239,-3.934,5.263315884504587e-07,1.7064896501265114e-06,0.0209,0.3203,0.015,0.22
FKBP3,ENSG00000100442,-2.348,5.340203870580676e-07,1.7305784401556691e-06,0.0716,0.365,0.035,0.245
SPRY4,ENSG00000187678,-2.5671,5.398789752152763e-07,1.7487156525037973e-06,0.0638,0.3786,0.025,0.235
TRAPPC4,ENSG00000196655,-2.7679,5.450984923851278e-07,1.7647662775764752e-06,0.0518,0.3531,0.03,0.237
MED28,ENSG00000118579,-1.9782,5.454807581669811e-07,1.765148247963792e-06,0.0978,0.3855,0.05,0.261
FARP1,ENSG00000152767,1.3322,5.475451995104575e-07,1.7709706477144534e-06,0.801,0.3181,0.363,0.207
EIF4A3,ENSG00000141543,-2.8933,5.563330525015245e-07,1.7984225937216711e-06,0.0449,0.3342,0.02,0.227
LINC01290,ENSG00000260468,3.9605,5.565712683369807e-07,1.7984225937216711e-06,0.5178,0.0332,0.224,0.022
SMIM1,ENSG00000235169,-11.5929,5.585674733950539e-07,1.8040000748576235e-06,0.0,0.3088,0.0,0.205
CTSA,ENSG00000064601,-1.8998,5.635882312593512e-07,1.819335812750704e-06,0.1117,0.4172,0.065,0.274
CTBP2,ENSG00000175029,1.717,5.656966971370747e-07,1.825260019409914e-06,0.7438,0.2262,0.323,0.153
PGD,ENSG00000142657,-1.2217,5.68696712723254e-07,1.834053763533855e-06,0.205,0.4782,0.085,0.308
NBAS,ENSG00000151779,1.9727,5.754134565847588e-07,1.8548197280548282e-06,0.6405,0.1631,0.294,0.106
CUEDC2,ENSG00000107874,-3.4396,5.759057329971181e-07,1.8555110422999283e-06,0.0305,0.3321,0.02,0.225
SHMT2,ENSG00000182199,-4.518,5.780136730554627e-07,1.8614046877229679e-06,0.0142,0.3265,0.01,0.215
