gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
KMT2E-AS1,ENSG00000239569,0.8178,0.03730210589355029,0.06948776348622784,0.1886,0.107,0.108,0.076
COPS3,ENSG00000141030,-0.1781,0.03754095213076899,0.06990273263081492,0.2403,0.2718,0.145,0.19
MAP1LC3A,ENSG00000101460,0.1022,0.037683577475652076,0.07013825597823722,0.7515,0.7001,0.42,0.422
PKIG,ENSG00000168734,0.8004,0.037806740173122896,0.07033736848989389,0.1715,0.0984,0.103,0.07
TMEM41A,ENSG00000163900,0.1863,0.037873914978733415,0.07043219276746916,0.5585,0.4908,0.321,0.315
SRSF6,ENSG00000124193,0.2506,0.0379214901432213,0.07046887826812946,0.4842,0.407,0.279,0.268
SCML1,ENSG00000047634,-0.2459,0.03794228604404577,0.07046887826812946,0.185,0.2194,0.11,0.152
EPHX2,ENSG00000120915,0.6162,0.03794146496937779,0.07046887826812946,0.2152,0.1403,0.128,0.097
EIF4H,ENSG00000106682,-0.1478,0.037972950314004404,0.0704957035731154,0.6097,0.6755,0.349,0.425
ZNF292,ENSG00000188994,-0.2144,0.03803187382841822,0.07057494605393065,0.268,0.311,0.158,0.202
STAU2,ENSG00000040341,-0.4061,0.03816507991328577,0.07079190665947074,0.1464,0.194,0.087,0.125
PEPD,ENSG00000124299,-0.1589,0.03822563395573192,0.07087397831553366,0.3637,0.4061,0.221,0.272
PPP2R1A,ENSG00000105568,0.13,0.03834422546763132,0.07106354110120498,0.6596,0.6027,0.377,0.384
ANKRD9,ENSG00000156381,-0.3589,0.03838898517122393,0.07111616775538755,0.1183,0.1517,0.07,0.109
CTDSP2,ENSG00000175215,0.2181,0.03841193481363195,0.07112836331488898,0.5178,0.4451,0.301,0.297
KMT2C,ENSG00000055609,-0.1806,0.03857235396270805,0.07139499587816404,0.4286,0.4858,0.25,0.299
HCFC1,ENSG00000172534,0.5451,0.0385984514781131,0.07141288638734761,0.2573,0.1763,0.152,0.124
