gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
RPL5,ENSG00000122406,-2.3346,3.0832594951614726e-307,1.8719789792051796e-305,0.4541,2.2907,0.213,0.915
ACTB,ENSG00000075624,-2.8153,5.613185919894081e-307,3.37585473955894e-305,0.3207,2.2582,0.135,0.916
UQCRB,ENSG00000156467,-4.2127,1.3477764266383524e-305,8.02997637366308e-304,0.0948,1.7592,0.051,0.826
SRP14,ENSG00000140319,-4.1345,2.304792330984447e-305,1.360467695372764e-303,0.0984,1.7293,0.054,0.829
ATP5MC2,ENSG00000135390,-3.6855,1.837356528609396e-304,1.074600722007789e-302,0.1398,1.8004,0.072,0.846
RPL37A,ENSG00000197756,-2.3898,2.870946491492156e-304,1.6638439893874997e-302,0.4414,2.3139,0.202,0.911
RPS10,ENSG00000124614,-4.8866,1.6550146429862192e-303,9.505151665799233e-302,0.0612,1.8145,0.035,0.812
RPS11,ENSG00000142534,-2.8446,9.577356121294692e-302,5.4513968993976484e-300,0.2885,2.0727,0.137,0.877
UBL5,ENSG00000198258,-5.9,5.726619828149313e-301,3.23072578800459e-299,0.0268,1.6069,0.018,0.794
RPL21,ENSG00000122026,-2.4382,6.411843077795347e-299,3.585570142188187e-297,0.4301,2.3314,0.19,0.909
SSR4,ENSG00000180879,-4.0686,8.254968107964516e-299,4.576123625067286e-297,0.1026,1.7238,0.055,0.822
RPL3,ENSG00000100316,-2.2916,6.520609960225914e-297,3.583524870382776e-295,0.4692,2.2975,0.212,0.912
RPS9,ENSG00000170889,-2.2298,3.655955064699408e-296,1.992026798073395e-294,0.4923,2.3097,0.225,0.916
GPX4,ENSG00000167468,-3.1355,7.151137774977512e-296,3.86343248436285e-294,0.2186,1.9221,0.105,0.864
RPL4,ENSG00000174444,-3.246,6.388801950429414e-295,3.422572473444329e-293,0.1998,1.8966,0.1,0.85
IFITM3,ENSG00000142089,-3.3785,4.262238224891318e-293,2.264314056973513e-291,0.1776,1.8479,0.09,0.845
MACROD2,ENSG00000172264,1.209,5.832253502782058e-293,3.0727781884492247e-291,2.7183,1.1758,0.901,0.611
COX6B1,ENSG00000126267,-5.3591,2.9114846744809134e-290,1.521370065558674e-288,0.0381,1.568,0.023,0.786
UBB,ENSG00000170315,-4.2631,4.7639907068939605e-290,2.469141524914553e-288,0.0892,1.7143,0.045,0.809
CHCHD2,ENSG00000106153,-4.3364,8.985408586077272e-289,4.619514494858275e-287,0.0815,1.6483,0.047,0.801
UQCR11,ENSG00000127540,-4.3967,1.0802056464667735e-288,5.509048796980545e-287,0.0777,1.6385,0.042,0.802
COX5B,ENSG00000135940,-5.0109,6.615352418674827e-287,3.347053307067621e-285,0.0484,1.5622,0.028,0.785
RPL38,ENSG00000172809,-2.9374,1.5990503602205637e-286,8.026729170398499e-285,0.2605,1.9965,0.122,0.862
PEBP1,ENSG00000089220,-3.2499,2.4481658782555954e-283,1.2193013651468297e-281,0.1872,1.7817,0.098,0.833
COX8A,ENSG00000176340,-4.763,9.661041926511576e-283,4.774352114845837e-281,0.0579,1.5749,0.035,0.784
ELOB,ENSG00000103363,-5.1038,2.913321895405543e-282,1.428648237170026e-280,0.0449,1.5483,0.024,0.78
RPL23,ENSG00000125691,-2.698,4.4457089545923956e-282,2.1634652355363756e-280,0.3117,2.0231,0.151,0.86
