rank,gene_symbol,ensembl_id,log2FC,pvalue,padj
218,SCG5,ENSG00000166922,5.229116428370351,0.013237101727628335,0.19315238805314558
219,SLC16A10,ENSG00000112394,-2.221427939896671,0.013363219560735096,0.19410228960136228
220,PIM2,ENSG00000102096,-0.946060528237175,0.013541203259975109,0.1957934889544583
221,RARRES1,ENSG00000118849,0.8774648859118435,0.013659981178441359,0.19661719515213558
222,ALOX5AP,ENSG00000132965,-1.2962148055127192,0.013964343350534064,0.20009268557679669
223,GLRX,ENSG00000173221,-0.9346445245838926,0.015036986264954854,0.21405586998245776
224,SPTBN1,ENSG00000115306,-0.49730805047646576,0.015112670034656672,0.21405586998245776
225,EFNA5,ENSG00000184349,-1.0716885376209637,0.015150601403725683,0.21405586998245776
226,TLL1,ENSG00000038295,3.4217403224096685,0.015207993277596811,0.21405586998245776
227,MT-ND3,ENSG00000198840,-0.05556744638022093,0.015344834508609293,0.21503047829024743
228,KIAA1549,ENSG00000122778,-1.3350814662544206,0.015545375695242104,0.21677582508339996
229,FBP1,ENSG00000165140,-0.7283893322467144,0.015738833967535074,0.21677582508339996
230,VSIG4,ENSG00000155659,-4.108467413311078,0.0157692182514214,0.21677582508339996
231,BEX3,ENSG00000166681,-0.48645287399351833,0.01580143064046701,0.21677582508339996
232,ACOXL,ENSG00000153093,-0.9240697552639352,0.015810119905485316,0.21677582508339996
233,MACROD2,ENSG00000172264,-0.7615086775296713,0.015994496568328978,0.217059256436139
234,LYZ,ENSG00000090382,-0.36768523135833475,0.01609985185360691,0.217059256436139
235,RNASEK,ENSG00000219200,0.7109868475846323,0.016115525809695934,0.217059256436139
236,AP2S1,ENSG00000042753,-0.5492923426098442,0.016275803864292202,0.217059256436139
237,HSPD1,ENSG00000144381,-0.4023270145730925,0.0162792956116208,0.217059256436139
238,JUNB,ENSG00000171223,-0.36427573731660307,0.01628104160382935,0.217059256436139
239,MYLK,ENSG00000065534,-2.2673128485700547,0.01650249681525949,0.217059256436139
240,HCST,ENSG00000126264,-2.0961825913211802,0.016531440426246838,0.217059256436139
241,PLCG2,ENSG00000197943,-1.6676067767764229,0.016609066372736757,0.217059256436139
242,SCGB1A1,ENSG00000149021,0.5434698495419884,0.01663799334435892,0.217059256436139
243,CPVL,ENSG00000106066,-14.162918714005947,0.016649625454391043,0.217059256436139
244,ENSG00000189316,ENSG00000189316,-13.529795425188777,0.016649625454391043,0.217059256436139
245,FYN,ENSG00000010810,-3.3368092526597763,0.017029998888918665,0.22111194475775622
246,CAPG,ENSG00000042493,-0.9031332135327483,0.017244645902840403,0.2229886935647777
247,SYNGR2,ENSG00000108639,0.3085917179226692,0.017522401931132716,0.225662998149527
