gene,gene_ens,log2FC,pvalue,padj,mean_group,mean_ref,pct_group,pct_ref
SETD3,ENSG00000183576,-0.4835,0.009098078139495239,0.03239495875310224,0.2809,0.3927,0.154,0.263
NR1H2,ENSG00000131408,-0.3627,0.009116788911381452,0.032439100710995775,0.4374,0.5624,0.229,0.358
TBCA,ENSG00000171530,-0.3269,0.009143143194179195,0.0324744354919396,1.0893,1.3664,0.536,0.723
C12orf76,ENSG00000174456,-0.7937,0.009145680840178397,0.0324744354919396,0.172,0.2982,0.104,0.2
MAML2,ENSG00000184384,1.1955,0.00914331235102288,0.0324744354919396,0.3994,0.1743,0.182,0.099
SELENOH,ENSG00000211450,-0.34,0.009174315126341172,0.032553612651340436,0.9147,1.1578,0.464,0.643
OSBPL1A,ENSG00000141447,-0.8369,0.009201498223329026,0.03262753476291548,0.1331,0.2378,0.064,0.162
CALM3,ENSG00000160014,-0.4142,0.009215798106168778,0.032655703909996676,0.3992,0.532,0.214,0.34
SPSB1,ENSG00000171621,1.4285,0.009238309424991752,0.03271291097560828,0.2856,0.106,0.157,0.072
CAV2,ENSG00000105971,0.6339,0.009245482401357856,0.032715763483592744,0.5756,0.3709,0.286,0.235
LINC03040,ENSG00000181577,-1.3439,0.009265148135698141,0.032762788108201685,0.0798,0.2027,0.046,0.139
GPN3,ENSG00000111231,-0.6451,0.009293772664636149,0.03284140574339789,0.1926,0.3012,0.107,0.208
HLF,ENSG00000108924,-0.8493,0.00931232632750165,0.03288435235099895,0.1476,0.2659,0.079,0.176
RFTN1,ENSG00000131378,-0.3865,0.009375794624215353,0.03306302867482394,0.3567,0.4663,0.171,0.289
ZNF330,ENSG00000109445,-0.6389,0.00937510268208643,0.03306302867482394,0.2023,0.3151,0.114,0.215
CHPF,ENSG00000123989,-0.5166,0.009458113051519158,0.03333044228992142,0.2787,0.3987,0.157,0.264
FAM118B,ENSG00000197798,-0.7273,0.009504590464139775,0.03347127197035652,0.1623,0.2687,0.082,0.182
RMDN1,ENSG00000176623,-0.9065,0.009625748778512019,0.03386025853604952,0.1334,0.2501,0.075,0.171
IMPDH2,ENSG00000178035,-0.3517,0.00962822843930875,0.03386025853604952,0.5142,0.6562,0.275,0.407
TRIO,ENSG00000038382,0.9574,0.009644360120309345,0.03389379090160699,0.5243,0.27,0.232,0.161
N4BP2L1,ENSG00000139597,-1.6345,0.009664425302492417,0.03394109173219825,0.0575,0.1787,0.032,0.124
TRAPPC3,ENSG00000054116,-0.4029,0.009687911395766793,0.034000333846618706,0.4033,0.5333,0.225,0.347
