Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes,disease,direction
MSigDB_Hallmark_2020,Complement,0.1357934784294746,0.26493154386993173,0,0,2.442462600690449,4.87666989360099,CA2;CTSH;CTSD,IPF,down
MSigDB_Hallmark_2020,UV Response Dn,0.13625050827596488,0.26493154386993173,0,0,3.2409090909090907,6.459974827185001,SDC2;TFPI,IPF,down
MSigDB_Hallmark_2020,Xenobiotic Metabolism,0.1508047445212299,0.2705623866387982,0,0,3.032446808510638,5.736689962903368,CA2;BLVRB,IPF,down
MSigDB_Hallmark_2020,DNA Repair,0.1564546786440862,0.2705623866387982,0,0,6.438832772166106,11.94396334882266,AK1,IPF,down
MSigDB_Hallmark_2020,KRAS Signaling Up,0.16233743198327893,0.2705623866387982,0,0,2.2357594936708862,4.064785588126732,SLPI;CA2;TFPI,IPF,down
MSigDB_Hallmark_2020,Apical Junction,0.242735760686307,0.3754274177601793,0,0,2.185769230769231,3.0945723656010307,ARPC2;CLDN18,IPF,down
MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.2470571865578205,0.3754274177601793,0,0,3.7225471085120208,5.20462505670157,LDHB,IPF,down
MSigDB_Hallmark_2020,Angiogenesis,0.2576839027060985,0.3754274177601793,0,0,3.5358024691358025,4.794624622325682,LPL,IPF,down
MSigDB_Hallmark_2020,Pperoxisome,0.26816244125727096,0.3754274177601793,0,0,3.3668430335097,4.431312065986536,CADM1,IPF,down
MSigDB_Hallmark_2020,Myogenesis,0.3470453075107775,0.46717637549527746,0,0,1.6655882352941176,1.7626919267505174,SCD;AK1,IPF,down
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,0.4125830519295247,0.5348298821308654,0,0,1.441326530612245,1.2760319689697663,TNFAIP8;SLC2A3,IPF,down
MSigDB_Hallmark_2020,Inflammatory Response,0.44656231155931797,0.542578951796054,0,0,1.3435714285714286,1.0831554871923972,CSF3R;LAMP3,IPF,down
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,0.44956541720244475,0.542578951796054,0,0,1.7184582956940682,1.3738625597612275,CSF3R,IPF,down
MSigDB_Hallmark_2020,UV Response Up,0.47263385023807564,0.5514061586110883,0,0,1.6004489337822672,1.199431312351184,CA2,IPF,down
MSigDB_Hallmark_2020,Coagulation,0.6038066437159477,0.6817171783889733,0,0,1.0964506172839505,0.5531607164089732,CTSH,IPF,down
MSigDB_Hallmark_2020,KRAS Signaling Dn,0.6258772448504217,0.6845532365551488,0,0,1.0312273057371097,0.48323416896942156,SELENOP,IPF,down
MSigDB_Hallmark_2020,Interferon Gamma Response,0.6467325260229038,0.6859284366909585,0,0,0.9732510288065843,0.4241646735463195,B2M,IPF,down
MSigDB_Hallmark_2020,Allograft Rejection,0.7461778864997032,0.768124294926165,0,0,0.7346328784925276,0.21509408132014357,B2M,IPF,down
MSigDB_Hallmark_2020,Epithelial Mesenchymal Transition,0.8305821834791646,0.8305821834791646,0,0,0.5645889792231256,0.10480374785294742,CADM1,IPF,down
MSigDB_Hallmark_2020,UV Response Dn,0.19294275492152993,0.3311228905435326,0,0,4.921367521367522,8.097429831571343,FHL2,CWP,up
MSigDB_Hallmark_2020,Estrogen Response Early,0.24770786039581547,0.3311228905435326,0,0,3.681410256410256,5.137427190974712,FHL2,CWP,up
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,0.3311228905435326,0.3311228905435326,0,0,2.5873303167420816,2.8596874588001127,TNFSF11,CWP,up
