logFC,pval,nhood_annotation,contrast,SpatialFDR
-33.07508352567784,0.9985892640002944,Lymphoid,IPF_vs_Normal,0.999127929492261
-32.22780072902129,0.9987304931386131,Myeloid,IPF_vs_Normal,0.999127929492261
,,Airway Epithelium,IPF_vs_Normal,
-0.5017364360178241,0.34670031133371293,Myeloid,IPF_vs_Normal,0.48002166038648286
-34.247007226264984,0.9989694721176035,Fibroblasts,IPF_vs_Normal,0.999127929492261
1.2672906761908778,0.057622737366748236,Airway Epithelium,IPF_vs_Normal,0.09733850530183354
-1.8629288531153043,0.005984386486898999,Distal Epithelium,IPF_vs_Normal,0.0149932742749041
2.9808132740607647,1.8852572310253342e-05,Myeloid,IPF_vs_Normal,0.00012245588199769617
-1.1055920255332028,0.24351564504489875,Myeloid,IPF_vs_Normal,0.3507102986613191
2.3055744925010933,7.015702110954287e-06,Myeloid,IPF_vs_Normal,5.357470537465052e-05
0.48180485625492897,0.38799851086078696,Distal Epithelium,IPF_vs_Normal,0.5303160345331762
-1.3455976810746966,0.024598984018000994,Myeloid,IPF_vs_Normal,0.046414405133994426
4.020442754887263,1.1730873205220968e-05,Proximal Epithelium,IPF_vs_Normal,8.18865121635921e-05
-32.642571234041114,0.9987141546501479,Airway Epithelium,IPF_vs_Normal,0.999127929492261
-33.3775722671276,0.9984949467954198,Airway Epithelium,IPF_vs_Normal,0.999127929492261
2.0431371328798145,2.165523227265588e-06,Proximal Epithelium,IPF_vs_Normal,2.1052908548161514e-05
1.77171986699374,0.004259763570391972,Endothelial (Macro),IPF_vs_Normal,0.011584126885368397
-5.241043712104987,0.00036041190979412317,Myeloid,IPF_vs_Normal,0.0015285560384772116
-33.05459925149314,0.9985492637119089,Distal Epithelium,IPF_vs_Normal,0.999127929492261
-0.18625535137216095,0.7112803686473552,Distal Epithelium,IPF_vs_Normal,0.8966779223525178
-2.5781830780712682,0.004234955887444159,Myeloid,IPF_vs_Normal,0.011534580036244812
1.802963600255509,0.002832344995017464,Lymphoid,IPF_vs_Normal,0.008424421970508314
-4.44113940293728,0.0027340163901132947,Fibroblasts,IPF_vs_Normal,0.008208015846795315
-1.0469391400590093,0.13106479057844725,Lymphoid,IPF_vs_Normal,0.20230638789374975
0.011855136339553271,0.979579858781146,Distal Epithelium,IPF_vs_Normal,0.999127929492261
-1.4581307229653535,0.12015734937776211,CD4+ T cells,IPF_vs_Normal,0.1871349176505192
-34.45786715339917,0.9988457922265448,AT1,IPF_vs_Normal,0.999127929492261
-2.279192042819168,0.00016703539554607943,Endothelial (Macro),IPF_vs_Normal,0.0007832809064577414
,,Macrophages,IPF_vs_Normal,
2.921642161292694,1.4707052558251965e-07,Endothelial (Macro),IPF_vs_Normal,2.71191573541116e-06
-32.576874427543174,0.9984193306394598,Airway Epithelium,IPF_vs_Normal,0.999127929492261
2.8163387681722294,1.7495234030571974e-06,Proximal Epithelium,IPF_vs_Normal,1.7960592334476848e-05
-33.8426405143019,0.9986320777916748,Airway Epithelium,IPF_vs_Normal,0.999127929492261
3.044406216156796,2.792381903445254e-06,Proximal Epithelium,IPF_vs_Normal,2.5669920323843506e-05
-33.02813665140529,0.9985504251300771,Distal Epithelium,IPF_vs_Normal,0.999127929492261
-1.2603676055869626,0.10519384816737219,Airway Epithelium,IPF_vs_Normal,0.16618229200684284
2.2387477878521165,0.00044001377238518554,Proximal Epithelium,IPF_vs_Normal,0.0018149979101234285
3.8815108286025595,3.8242124021164104e-13,Proximal Epithelium,IPF_vs_Normal,1.227508444205999e-10
,,Myeloid,IPF_vs_Normal,
2.0951800433719234,8.116942107963524e-06,Myeloid,IPF_vs_Normal,6.033353456475088e-05
4.7802555908660125,1.0318775095082925e-05,Myeloid,IPF_vs_Normal,7.37947603253628e-05
-2.6877763594041233,0.013682421951776682,Fibroblasts,IPF_vs_Normal,0.028246303394711878
-1.2598105748184212,0.09622649218982479,Myeloid,IPF_vs_Normal,0.15347627437547293
2.925596783808561,1.3981684309248778e-05,Myeloid,IPF_vs_Normal,9.511595129347306e-05
-1.1010976476612333,0.11910762115225608,Endothelial,IPF_vs_Normal,0.18563516029548432
-2.9613132086032365,0.006697869091418678,Distal Epithelium,IPF_vs_Normal,0.016293325859748933
-4.284574311499243,0.0037011114880620135,Myeloid,IPF_vs_Normal,0.01041035579795331
