umap1,umap2,nhood_annotation,nhood_size,logFC_IPF,FDR_IPF,logFC_COVID,FDR_COVID,logFC_COVIDvsIPF,FDR_COVIDvsIPF
9.063387,2.2944403,Myeloid,50,2.5546320506792983,2.9606845273360824e-05,-0.31761697425497265,0.9992162062284382,-2.8722489886293503,0.3393550255602571
7.8556237,6.47236,Mast cells,35,-1.5611040899698405,0.4482870278810037,5.457619828868293,9.015360908170668e-12,7.018723158404764,7.570412531165906e-05
-5.473154,5.4997606,Airway Epithelium,53,-1.8020836250561303,0.010126983419985046,-31.400291441656623,0.9992162062284382,-29.77550409879075,0.9993360784192652
4.4941382,6.883343,Distal Epithelium,33,0.25879450420883254,0.827971264329318,-29.88276512096895,0.9992162062284382,-31.109528368959534,0.9993360784192652
-0.67547333,1.7027148,Proximal Epithelium,34,1.570615463574361,0.01726598988291456,-29.713869732334985,0.9992162062284382,-30.93908656965312,0.9993360784192652
10.715715,2.8678877,Macrophages,37,-1.211534893081288,0.16530857685583503,1.8339916447277929,0.05692996537765131,3.0455264666263493,0.00741908641765374
11.687259,3.2699525,Myeloid,72,1.2840708143795507,0.007680193385623631,-0.7901819324993872,0.9992162062284382,-2.0742511485707205,0.35762651490141467
12.924358,6.9855747,Myeloid,53,-34.23046008085198,0.999127929492261,-2.379906795374935,0.7036030981197695,,
13.903024,3.5852883,Myeloid,60,6.975402223632919,2.0288614332694036e-05,5.209626424612364,0.016763753939321818,-1.765776348787908,0.26019554154172814
14.16752,15.074401,Lymphatic EC,37,1.2532641786210073,0.048632578634750595,1.6413386872445233,0.3542944663917611,0.38807528540965763,0.9993360784192652
11.570026,2.3367362,Myeloid,36,2.334275369582107,0.0001490900536380139,-29.764825648090635,0.9992162062284382,-31.445578393959273,0.9993360784192652
12.88906,2.74713,Myeloid,45,1.7213944338534295,0.002703097012026931,-0.9107984584469097,0.9992162062284382,-2.63219188372478,0.43551791025798264
12.889605,3.6990197,Myeloid,31,-2.9257602048129328,0.017114724414265422,-31.26248049408469,0.9992162062284382,,
9.588793,-6.7218304,Lymphoid,30,2.3458827558132205,0.0008529985970592896,-28.280269490879757,0.9992162062284382,-31.192934493516834,0.9993360784192652
1.2430326,-6.786736,Proximal Epithelium,29,3.4940029186283863,0.00012425338626413619,2.806268091921156,0.13315771633578177,-0.6877349045459185,0.9993360784192652
8.528386,-5.551461,Lymphoid,29,-3.680810106703351,0.028679670796772798,-31.06825469246483,0.9992162062284382,,
-1.924768,7.679809,Airway Epithelium,57,-33.94458445004031,0.999127929492261,-30.846083016062458,0.9992162062284382,,
7.1000957,6.725567,Myeloid,30,0.8832365101102712,0.2056278484515759,-29.628272537070156,0.9992162062284382,-31.245009591017432,0.9993360784192652
