gene,spearman_r,pval
TCIM,0.09854451926258112,1.069545147322163e-70
MUC1,0.09838319061036266,1.8009584962488065e-70
CIBAR2,0.09754969330756644,2.622481307435985e-69
CFAP90,0.0972862370365737,6.085560696134675e-69
ENSG00000231698,0.0972624926283338,6.56448437360423e-69
FAM216B,0.09700694252330849,1.4817454642092465e-68
C11orf97,0.09691101141208475,2.0102887135692384e-68
ENSG00000248551,0.09689889052109048,2.0892405271108477e-68
RSPH9,0.09628624626962033,1.4549181093281744e-67
DYNLRB2,0.09599502792809876,3.644073116678241e-67
DNAH12,0.09570403464330661,9.095080519368513e-67
ROPN1L,0.09565080123418211,1.0748320561909629e-66
MORN5,0.09562960520515588,1.1487095827526342e-66
ZMYND10,0.09539629015624461,2.385418600201177e-66
LRRN4,0.09498888908861201,8.508047375096566e-66
CFAP126,0.09417688723269044,1.0554416522847324e-64
FOXJ1,0.09408950115466964,1.3821653955727092e-64
CFAP210,0.09397788330021785,1.949864325617674e-64
LRRC46,0.09328532033149672,1.6340460310216455e-63
CFAP53,0.09308307106500985,3.030972185480851e-63
DBI,0.09301258458504104,3.757991874802484e-63
ATF7IP2,0.09277514305268358,7.74408768636936e-63
TEKT2,0.09244782148206974,2.0918034249296597e-62
LRRIQ1,0.09244606736025182,2.1029522228221483e-62
TEKT1,0.09225043670173934,3.802018351188951e-62
CFAP43,0.09147120516225198,3.971606555715243e-61
SEMA3B,0.09112268980695169,1.1268686506233987e-60
CAPSL,0.0910419172132577,1.434137516612867e-60
DNAI4,0.09067521488691374,4.2738839605683374e-60
SNTN,0.09058993076842145,5.506025063091315e-60
RNF145,0.09017358724906228,1.8898022985722637e-59
TUBA4B,0.09000363079140528,3.1212631543748245e-59
C22orf15,0.08998019890702845,3.344580411484582e-59
FABP4,0.08939062241958463,1.8917743246447946e-58
CXCL2,0.08936475170424434,2.0406855634250617e-58
CLXN,0.08934022515229352,2.1926244465461594e-58
SCUBE1,0.0891669112186794,3.640035217039941e-58
CCDC78,0.08863533393970698,1.712459812803703e-57
CFAP95,0.08841305173257953,3.263130217476318e-57
CFAP157,0.08822667675387386,5.595887922886055e-57
CFAP45,0.08786996562171771,1.5659992554411043e-56
CTSE,0.08785862401178748,1.6179738471167303e-56
NFKBIA,0.08783841471327755,1.7148801630697423e-56
NALF1,0.08777467408600478,2.0600286784423037e-56
RBMS3,0.08771408476745661,2.452005321649305e-56
PRKAR1A,0.08766702159808126,2.8070186688061585e-56
SPAG17,0.08717508637503155,1.1485910949651708e-55
ARMC3,0.0864646322391115,8.665236125027044e-55
AGBL4,0.08645674626003048,8.860969991917683e-55
CDHR4,0.08594626001394615,3.7458966855509097e-54
DNAH6,0.08582975621447247,5.1989561189649576e-54
DNAH5,0.08578800195006304,5.84641895256023e-54
FOLR1,0.08540551087069707,1.7087353320359184e-53
TSPAN19,0.08531961926813945,2.1726146695751605e-53
CFAP299,0.08524876022608432,2.6482279383740828e-53
DRC1,0.08502741319099114,4.909653196362807e-53
AKAP14,0.08493682726057374,6.317805037965335e-53
RSPH4A,0.0848711018844831,7.584946232784874e-53
CFAP276,0.08416942428709749,5.29199676074756e-52
LINC02489,0.0840927830167724,6.536465606778397e-52
DNAH7,0.08407676867914197,6.831218010111553e-52
DNAH9,0.08399448837398356,8.567574793678736e-52
DRC3,0.08398125571051036,8.885205825840573e-52
ENSG00000258752,0.0838291389085355,1.3496699298259524e-51
PRR29,0.08371133614431628,1.864680696729216e-51
SAXO2,0.0830147052505322,1.2493133042205963e-50
ZFP36,0.08246690768618775,5.5128737492562405e-50
HOATZ,0.08212804169214688,1.3741828619655412e-49
FABP6,0.0819318524142206,2.3278118004661083e-49
SPAG6,0.08159764454891874,5.696626374641921e-49
HYDIN,0.08137198481442201,1.0402752153248431e-48
LDLRAD1,0.08113846296281131,1.936532884932165e-48
CCBE1,0.08107540871858655,2.2896120211518416e-48
ENSG00000227227,0.08053755007734426,9.5040344869977e-48
C6,0.07934358434987271,2.1644251415810776e-46
CCDC170,0.07895124744712805,5.983501343253203e-46
ENSG00000250421,0.07865340860088017,1.2904336408367937e-45
CFAP144,0.07856367560615697,1.6257327232326096e-45
DTHD1,0.07840799067558647,2.4255966899621306e-45
TMEM132D,0.07802402224784545,6.485031171313426e-45
FRMD4B,0.07728233462844163,4.2751528193900654e-44
ZBBX,0.07725734986922109,4.554132132587986e-44
BLVRB,0.0765765725513755,2.529538185902046e-43
CCDC146,0.07654011860137891,2.7715864714076764e-43
PRSS48,0.07538684118673476,4.8811939128317015e-42
MRPL14,0.07441313365659522,5.316301470364763e-41
SLC5A9,0.07435724996002317,6.091459135448905e-41
SBSPON,0.07405435465428346,1.2715695368230959e-40
RSPH1,0.0734199748584348,5.881901652017421e-40
SERTM1,0.07293220916976233,1.892661329048127e-39
ENSG00000255422,0.07277360325653538,2.7630274513981377e-39
CFAP54,0.07231390217397367,8.233910329676275e-39
TAGLN,0.07190813062801861,2.1463451599606887e-38
CIMIP1,0.07155143488439532,4.960636377333153e-38
VAPA,0.07147430238214741,5.942602967260601e-38
LINC01811,0.07131507236141492,8.622581202747677e-38
FGF14,0.07122281419407692,1.0693971327300667e-37
KCNIP1,0.07083949006383962,2.6081704247105643e-37
AKAP9,0.07034502451934666,8.179314061745308e-37
PIERCE1,0.07017359927618795,1.2133782641576859e-36
MGST3,0.07014109996845051,1.3074371987241338e-36
ALPP,0.07001111104490133,1.7618187016493376e-36
S100A10,0.069848307331067,2.5577907757520868e-36
KIF9,0.06954766951141038,5.0798724897741435e-36
ENSG00000254459,0.06934554689698258,8.04401945582334e-36
PICSAR,0.06923203894959228,1.0406909212368187e-35
ENSG00000254733,0.06886477833009488,2.3876012055088096e-35
CIMAP1B,0.06858784319719931,4.4528692726066577e-35
TMEM190,0.06788962198891628,2.119631455672209e-34
SPMIP6,0.06721600317780674,9.407131493743264e-34
PCM1,0.06679185139238221,2.3860220518457502e-33
CFAP47,0.06647360212937715,4.778521987684089e-33
RNASEK,0.06601576729812675,1.290295198437532e-32
EFHC1,0.06597771289494009,1.4009167790478542e-32
TRAM1,0.06543840570580113,4.471767314384424e-32
DNAH3,0.06542355236521345,4.6164031504944726e-32
DUSP1,0.0653151045347755,5.822981098356162e-32
LINC02016,0.06498590790844375,1.175531093450212e-31
THSD4-AS1,0.06479166251438072,1.776377711857008e-31
RTN4,0.06428050603374755,5.233792096464852e-31
WDR54,0.06413469675715693,7.112190793168652e-31
EPPIN,0.06404745049163811,8.541875499630336e-31
FCER1G,0.06374252583849543,1.617088290239085e-30
HS6ST3,0.06339225030603751,3.353643134692427e-30
MRPS24,0.06316313449061552,5.3924636976729684e-30
ENSG00000272234,0.06272383730764731,1.3341577147445203e-29
GNMT,0.06261225211421877,1.6776639475045668e-29
TMEM35B,0.062381603359987034,2.6903661235143977e-29
FAM227A,0.06213351341478941,4.462609103917327e-29
CFAP70,0.06166720234140471,1.1490308910585968e-28
HLA-DRB5,0.061347245127123626,2.1897034670277063e-28
PGM5P4-AS1,0.06129772196107083,2.4188171164753057e-28
ENSG00000227479,0.061060181227611185,3.8941994203853536e-28
NEK10,0.06062165970121247,9.335247391285233e-28
MT-ATP8,0.0598589485278226,4.2080515751378625e-27
FKBP6,0.05978655816327479,4.849789625016859e-27
ATP6V0C,0.05908576476350881,1.8995160074084814e-26
NEK5,0.05905376306844056,2.0209396318270427e-26
MGST1,0.058578138472537414,5.056001111635223e-26
ENSG00000239300,0.058478776162971785,6.117915791642133e-26
ENSG00000236733,0.05839946063832324,7.121893424624197e-26
GPRC5D-AS1,0.05834201649134904,7.949406746250779e-26
IL32,0.05798672730797851,1.5651889101915124e-25
C1QC,0.05717069836739258,7.305149193009654e-25
ENSG00000250354,0.0564085276145152,3.0204154694197417e-24
ENSG00000263990,0.056210414491617476,4.354722174029842e-24
ENSG00000257181,0.05541240543652379,1.8767278387723264e-23
COX17,0.05509373328871535,3.343897973548007e-23
ENSG00000236065,0.05483616462742903,5.32061892458968e-23
ENSG00000269043,0.054016474739948195,2.2997419779515697e-22
ACSM6,0.05364599319844449,4.424982908475525e-22
CETN2,0.05355399896700137,5.202242104120298e-22
ENSG00000270050,0.053476242972292025,5.963476959074657e-22
ENSG00000265987,0.05296440613787751,1.458103662973722e-21
SRRM2,0.052779208519051844,2.010835780295848e-21
RABGAP1L-AS1,0.05261047296755267,2.6923889777097376e-21
ZNF277-AS1,0.05202861154075856,7.314624623028548e-21
SERPIND1,0.05197569098057678,8.006336029466874e-21
ENSG00000250501,0.05181434968882966,1.053973034746805e-20
GGTLC3,0.051784605777081764,1.1086659514029514e-20
GRIK1,0.0511764748465745,3.099519180458791e-20
ENSG00000271554,0.05058578316732629,8.318018346166109e-20
IFITM2,0.05050418869938659,9.524823393670615e-20
CHST7,0.05032790109951623,1.2754336061529295e-19
ENSG00000261460,0.05001028612762123,2.1528531150864763e-19
LRRFIP1,0.04912565855188797,9.095033826740573e-19
ENSG00000255139,0.04905637845414238,1.017069741487111e-18
MORN2,0.04876569856796126,1.6229517029261249e-18
RGS7,0.04862026519600905,2.0483511896679185e-18
SOX5-AS1,0.04817706304709832,4.146423443131074e-18
FAM229B,0.047786012821263324,7.684614781791082e-18
CCDC89,0.04754091300304096,1.1284302946769584e-17
HMGCLL1,0.046891703286365036,3.092916817529817e-17
SLC6A4,0.046406262011380886,6.515544054882033e-17
CHD9NB,0.04610049526043434,1.0377122852262796e-16
ENSG00000259437,0.045455046872501216,2.744492412664663e-16
ENSG00000235096,0.04532255223728344,3.345398111836242e-16
ENSG00000250519,0.04524517276381779,3.7544978534433754e-16
CD163,0.04516903579929262,4.2050369411983944e-16
HCST,0.045162866481234944,4.2437946833388085e-16
C10orf67-AS1,0.04448639162316175,1.1519789763547379e-15
TBCA,0.04434151885438704,1.423944464988187e-15
ENSG00000263624,0.044329543210507825,1.4490687010908411e-15
ANGPTL7,0.04387805163031418,2.792561442308697e-15
ENSG00000274565,0.04357349940411109,4.330973754874053e-15
PPP1R15B-AS1,0.0434151478285945,5.434606376993317e-15
SPARC,0.04298798301981248,9.985257893803588e-15
RGS6,0.04246065941800112,2.098897413156628e-14
NGF,0.04238977603197048,2.3177390392223553e-14
TSHR,0.04225519820760179,2.7967282200335124e-14
GABARAP,0.041956023322123094,4.237574728357728e-14
IGFBP7,0.041862172009789374,4.824733681581226e-14
FOS,0.0417134493444889,5.922807059881096e-14
CCNA1,0.04135222416344201,9.71730547635851e-14
AMBP,0.04081879952636074,2.0033057891483535e-13
ENSG00000231104,0.04021746729430643,4.479256724744166e-13
DOCK4-AS1,0.03936671334291615,1.3709905218448374e-12
LMNTD1,0.03930526294704016,1.4850360890945674e-12
APLP2,0.03923862311310748,1.6192389385951854e-12
P4HA2-AS1,0.03922090720782774,1.6568738112786068e-12
CYGB,0.03920186281255626,1.6982880105406318e-12
PARAL1,0.03820855895152088,6.0570740146602816e-12
TEK,0.03806355977181567,7.273349837617699e-12
S1PR4,0.03788716643152969,9.078620417072246e-12
ENSG00000259986,0.037777254755465166,1.0418322704227873e-11
ALCAM,0.03767917831109665,1.1775994466936326e-11
GRM3,0.037471641087189235,1.5245199523375527e-11
RBP2,0.03747017724409548,1.5272914855749778e-11
TIMP3,0.037138156636081915,2.3018157987739175e-11
HEPHL1,0.03642855314044528,5.466373790609939e-11
GGTLC2,0.036376944655746084,5.817635779534172e-11
OCIAD1-AS1,0.03621905931359968,7.034983039635118e-11
MUC3A,0.03613544043408958,7.777242568954535e-11
ENSG00000250137,0.03595642469529182,9.633003828369098e-11
LINC02201,0.03539503634860198,1.872122692255696e-10
ENSG00000257452,0.035316710459144904,2.0523447816790361e-10
ENSG00000275443,0.03518481599604353,2.39482721387479e-10
LINC02211,0.03486122987684302,3.4889202102846036e-10
ENSG00000254263,0.034670701772974516,4.347454976769763e-10
NDUFAF3,0.03454965813503018,4.996599822549152e-10
KCNA3,0.03454593203148579,5.01801410487307e-10
ENSG00000256469,0.03440118921472997,5.92286699792998e-10
MED4-AS1,0.03411695610650797,8.186126627663293e-10
MPP1,0.0340875638747623,8.463473735714097e-10
ENSG00000233367,0.03395523177533469,9.829920124927954e-10
COL4A2-AS2,0.03331364097145894,2.0150072774200133e-09
SLCO2B1,0.03310046171084949,2.5503386910201543e-09
ENSG00000262873,0.032709296539369576,3.914902982535991e-09
XAGE2,0.03258228904638648,4.4946977739112904e-09
TMPRSS6,0.03227624987482878,6.2562832199273435e-09
NRG1,0.031896324673080456,9.393191816088567e-09
KCNIP4,0.031784968732991144,1.0572272882173098e-08
ADAMTS3,0.031779139565538524,1.0637803615423956e-08
SPATA24,0.031185043982315884,1.9856881441408452e-08
TTC3-AS1,0.0311451963071764,2.069752011541798e-08
MAP9-AS1,0.030790373020854776,2.9874662600871084e-08
ENSG00000260555,0.030757026323096192,3.091671685422353e-08
ADORA2A,0.030722079926654565,3.204657909895451e-08
LINC02343,0.03064789403649015,3.4579424822024615e-08
C1orf127,0.030643644515896316,3.473024562077803e-08
RHD,0.030514736509243967,3.962100604598177e-08
CMTM2,0.030027019224002256,6.491491699666334e-08
NBAT1,0.030009648484531894,6.605736271071372e-08
PAPOLB,0.02977308380626046,8.369394265786878e-08
ENSG00000198358,0.02953651789752653,1.0585249732027696e-07
ARAP1-AS2,0.029470688262227856,1.1296673441285641e-07
KLK5,0.029388435666784063,1.2250795422807166e-07
LINC00165,0.02908484566020766,1.6494343240898345e-07
ENSG00000231496,0.028956747071906618,1.8683575372575863e-07
DPP9-AS1,0.028915616959442527,1.9444238722869452e-07
KCNA4,0.02876400463040014,2.2515208788458676e-07
SYNPO2L-AS1,0.02873662834776813,2.3117557864801587e-07
HTT-AS,0.028322973043730455,3.4351570636803045e-07
ZMYM4-AS1,0.028297965234189988,3.517793566470706e-07
ENSG00000260999,0.028146045184544867,4.062587184621377e-07
LINC02250,0.027992431004793313,4.695827071398847e-07
ENSG00000249207,0.02798945948060955,4.7089691469101005e-07
C12orf75,0.027869023864130617,5.272512770678577e-07
ENSG00000229313,0.027751064238799816,5.887194681555024e-07
FGR,0.02763976723690038,6.530105717372273e-07
SLC11A1,0.027459897817194,7.714500023508884e-07
ENSG00000226900,0.027391539511991858,8.216798300764985e-07
HELT,0.027374430962779927,8.347356821010764e-07
CRNDE,0.02728306783330491,9.079091268707466e-07
ENSG00000228033,0.027203060080874607,9.770272888253796e-07
ENSG00000226398,0.026896103169704783,1.2922551268160734e-06
DDX5,0.026455700007990343,1.920196920443304e-06
CCR3,0.026096254531903552,2.641016652096797e-06
ENSG00000223901,0.02578944025370464,3.4557268740988404e-06
LINC01732,0.02576989780633686,3.515067254771925e-06
LINC00332,0.025769873521910788,3.515141598313368e-06
PODN,0.025607647844832878,4.046910764947618e-06
ARG1,0.025451721646230375,4.630119286143497e-06
TEX41,0.025306802635205735,5.243698152107129e-06
DYNLRB1,0.025294801056730598,5.297863170973677e-06
LINC01705,0.025226287673556502,5.617480511214951e-06
IFI30,0.025206879552727983,5.711323510072951e-06
NRIP3-DT,0.0251403569712022,6.04449458009258e-06
TTR,0.02501546292357581,6.720899122284066e-06
BTK,0.024818487422308792,7.936934138227376e-06
HLX-AS1,0.024628440426493807,9.307645159660078e-06
C7,0.024287799079292627,1.2348899793500086e-05
CCDC102B,0.024253293553634682,1.2705117975361264e-05
ENSG00000259005,0.024201729282474257,1.3255768757724158e-05
ENSG00000265399,0.023929272157826253,1.65641681960625e-05
ENSG00000249453,0.023888219476002615,1.712627103917425e-05
ENSG00000254571,0.02386530718219531,1.7447846949405432e-05
LINC02974,0.023796103121433227,1.845442995717364e-05
PLA2G2A,0.02371650936230326,1.9680517631340777e-05
FLVCR2-AS1,0.023660571932599062,2.058819762131886e-05
EPCAM,0.023634609871790165,2.1022890470298392e-05
SLC5A10,0.023464621675838557,2.409245191503104e-05
DLX4,0.0232069691399623,2.9569967504343637e-05
ITGAX,0.022932193752746213,3.670691393597796e-05
TUBB4B,0.022907425195949644,3.742500844247186e-05
ENSG00000257342,0.022707261573903802,4.37376856170481e-05
CCL21,0.022699654207948235,4.3996479082859576e-05
LINC02277,0.02265559195527848,4.552422536702512e-05
ENSG00000273262,0.022618115484412556,4.686308642124901e-05
ENSG00000241720,0.022573793945904152,4.849467918364559e-05
PCBD1,0.02255109355421367,4.93510532924066e-05
ENSG00000226526,0.02245469293549894,5.3150054615183176e-05
