gene,spearman_r,pval
MT-CO3,0.20096462583529662,2.788430765976855e-292
CXCL17,0.2006085373805378,3.118386090675514e-291
XBP1,0.20044334557121837,9.543003303691815e-291
ITM2C,0.20032549049148568,2.1182608449885704e-290
COX7B,0.19970728800064846,1.3766982526398906e-288
GUK1,0.19914065303443151,6.239584773638817e-287
NDUFB7,0.19799457879224935,1.3479430600109992e-283
NUCB2,0.19720021556545006,2.683396123993773e-281
S100A13,0.19700169296168046,1.0038817107485844e-280
IFITM1,0.19631582602768952,9.473605623876361e-279
COMMD6,0.1949802298647841,6.321491649869972e-275
CCDC80,0.19357924106154914,6.055478391385189e-271
RPS20,0.19309498244471385,1.4162100087600065e-269
HLA-E,0.19275438393131242,1.29352864133414e-268
RAC1,0.1914230690402909,7.066763178105109e-265
RPL26,0.19125077535518228,2.142259225818518e-264
ARPC3,0.19043473620494789,4.034625645669018e-262
S100A14,0.19039126215863908,5.329739006123306e-262
COX5A,0.19004581267472925,4.856895290698612e-261
HMGN1,0.18755705091823552,3.5064471886867036e-254
PDIA3,0.18691073398246127,2.0423868787071473e-252
LGALS3BP,0.18614469090600982,2.47723179266963e-250
RPL38,0.18521583366045927,8.098594864728082e-248
FER1L6,0.18509088015892106,1.7604994486180682e-247
PIGR,0.184574235695038,4.338909519067242e-246
PSMB1,0.18427670318631956,2.7352158156995063e-245
TSC22D1,0.18380482811229343,5.038689928571844e-244
MT-CO1,0.18269235650820118,4.695518579412679e-241
EEF2,0.18008128923093394,3.6773385504152656e-234
UQCRB,0.17933658640637612,3.253513995579616e-232
COX8A,0.17862112928903576,2.369348729111917e-230
EEF1B2,0.17767392459333073,6.728886586015051e-228
STATH,0.17668141586709066,2.419469295563228e-225
EPHX1,0.1755356205034848,2.066846042526786e-222
NDUFB4,0.1734377589258822,4.269424983337276e-217
SOD1,0.17270528888522918,2.952374687180113e-215
NPM1,0.17232833433828196,2.5928808891998375e-214
MDH2,0.1719213085156469,2.6928844225096006e-213
MGP,0.17191007295677876,2.8723630861005927e-213
BCAP31,0.17131315547555834,8.793695300301248e-212
YWHAZ,0.16965797282874195,1.0861435494139078e-207
PSMB6,0.16861246030305835,3.9702737972852125e-205
MT-CYB,0.16844617241850054,1.01136993959224e-204
MT-CO2,0.167635838135077,9.50085178099993e-203
ANXA11,0.16744102249663365,2.822059452742422e-202
ATP5F1D,0.16730342388096525,6.083569641374287e-202
ATP5PF,0.16684452899717703,7.84522407730897e-201
EDF1,0.16582940418301442,2.1857656430972936e-198
SEM1,0.16548095080815248,1.4970988820905346e-197
SYT8,0.16452120468861375,2.9329059785707236e-195
ATP5F1C,0.16405864003067347,3.689529485925314e-194
SIX3,0.16388791383001722,9.376077961922484e-194
APP,0.16380252566944262,1.4943048110956534e-193
RPL23,0.16354201016968176,6.184736655451409e-193
EIF3F,0.1626047291088582,1.0050530697688181e-190
SPOCK3,0.1620188741746506,2.3840773605007413e-189
CENPW,0.16124054941401642,1.570901897389566e-187
PSMA7,0.1603240775426203,2.118398542458616e-185
TXNDC17,0.15991531838630899,1.8700012675360113e-184
ALDH2,0.15952132370036015,1.51744429676734e-183
HNRNPA1,0.159463640015778,2.0608149523960058e-183
RBM8A,0.1594138403927121,2.683839978712087e-183
SPCS2,0.15915003272895129,1.0860065108987772e-182
NCL,0.15890040332341196,4.067330392126615e-182
SNRPD2,0.15869135471341037,1.2269670172370825e-181
FOSL1,0.15855994892538353,2.454241639312371e-181
C12orf57,0.15854880494727783,2.6027892302903107e-181
SAP18,0.1583511981022511,7.373625822931053e-181
TMED2,0.15785377873412054,1.0079848581488807e-179
CRIP2,0.15650185476393863,1.1787401838182332e-176
CEACAM6,0.15640623806839477,1.9380146146548663e-176
ATP6V1B1,0.1546466121873,1.7242204085587873e-172
HNRNPK,0.15452680701869081,3.1899090419249736e-172
SPRR2A,0.15422561534417153,1.494613888710075e-171
BRK1,0.1537609417816724,1.6094114517781183e-170
APRT,0.1533376042504873,1.3936502332528616e-169
JTB,0.15322323273984878,2.4944072889725515e-169
NDUFB10,0.15296815356001459,9.122190948748576e-169
TALDO1,0.15295176436852906,9.91397056543903e-169
UQCRQ,0.15189660899673088,2.065428497186378e-166
ID1,0.15111078839775732,1.0739939939202119e-164
TMED10,0.15088801098428728,3.2793578464059467e-164
