Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,population,gene_set_db
prerank,REACTOME_MITOCHONDRIAL_BIOGENESIS,-0.7713129502762258,-1.3805419387704314,0.0,0.04763063658934911,0.942,19/64,10.29%,ATP5F1E;ATP5MC2;ATP5MG;ATP5MK;ATP5MJ;ATP5MF;ATP5F1D;ATP5PF;ATP5MC3;CALM1;ATP5PD;ATP5ME;ATP5F1B;ATP5F1A;ATP5MC1;ATP5PB;ATP5F1C;CYCS;SSBP1,ECM-high Epithelial,Reactome
prerank,REACTOME_COMPLEX_III_ASSEMBLY,-0.796381226023143,-1.3776647989703374,0.01882845188284519,0.050543280399431366,0.952,12/20,15.56%,UQCRQ;UQCR10;UQCRB;UQCR11;UQCRH;MT-CYB;ISCU;UQCRFS1;CYC1;UQCC5;UQCRC1;UQCC2,ECM-high Epithelial,Reactome
prerank,REACTOME_NOD1_2_SIGNALING_PATHWAY,-0.8112185711033754,-1.376182251612125,0.012474012474012475,0.05178841335701361,0.96,4/20,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES,-0.781892058071862,-1.3754123331307078,0.004073319755600814,0.052305174459462776,0.964,4/25,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,-0.8024039375399293,-1.3745774783409417,0.0,0.05265376891916336,0.966,4/27,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_SIGNALING_BY_EGFR_IN_CANCER,-0.8182687453130035,-1.3737650177589733,0.006172839506172839,0.05306000386354743,0.97,5/18,8.68%,RPS27A;UBA52;UBB;UBC;AREG,ECM-high Epithelial,Reactome
prerank,REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,-0.7896989697015806,-1.3732431138254442,0.006147540983606557,0.052978806723271814,0.97,8/24,8.62%,NPC2;RPS27A;UBA52;UBB;CLTA;UBC;APOC1;AP2S1,ECM-high Epithelial,Reactome
prerank,REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY,-0.807869567596676,-1.3727371722260455,0.013071895424836602,0.05296390474477952,0.97,9/16,16.83%,ATP6V0E1;ATP6V1G1;ASAH1;ATP6V0B;ATP6V1F;ATP6V0D1;ATP6V1E1;ATP6V0C;ATP6AP2,ECM-high Epithelial,Reactome
prerank,REACTOME_SIGNALING_BY_FGFR3,-0.784093314343632,-1.3721794593806056,0.014344262295081968,0.05290690097550303,0.972,4/23,5.32%,RPS27A;UBA52;UBB;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,-0.7768206304702332,-1.368265321914217,0.0,0.05662777658699263,0.98,11/36,13.28%,RPS27A;UBA52;POLR2L;UBB;NFKBIA;UBC;POLR1D;POLR2K;POLR2E;POLR2F;XRCC6,ECM-high Epithelial,Reactome
prerank,REACTOME_INSULIN_RECEPTOR_RECYCLING,-0.790120404138787,-1.3650512937061277,0.012474012474012475,0.06061770676810361,0.986,8/20,15.47%,ATP6V0E1;ATP6V1G1;ATP6V0B;ATP6V1F;ATP6V0D1;ATP6V1E1;CTSD;ATP6V0C,ECM-high Epithelial,Reactome
prerank,REACTOME_COMPLEX_I_BIOGENESIS,-0.755868720777914,-1.3642150482830817,0.002,0.06076476774961571,0.986,42/61,19.76%,NDUFB2;NDUFB11;NDUFS5;NDUFA1;NDUFB4;NDUFB9;NDUFC1;NDUFB1;NDUFS8;NDUFA3;NDUFB7;NDUFB10;NDUFAF3;NDUFA2;NDUFV2;NDUFA11;NDUFA13;NDUFA6;NDUFS6;NDUFAB1;NDUFS7;NDUFC2;PYURF;NDUFB3;NDUFB6;NDUFA12;MT-ND1;NDUFA5;MT-ND5;OXA1L;NDUFB5;NDUFB8;MT-ND2;NDUFV3;NDUFV1;NDUFS3;NDUFAF8;NDUFA8;TMEM126B;MT-ND3;DMAC1;LYRM2,ECM-high Epithelial,Reactome
prerank,REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING,-0.7913380847389039,-1.3618074676887786,0.023404255319148935,0.06348534271456499,0.99,8/17,15.47%,ATP6V0E1;ATP6V1G1;ATP6V0B;ATP6V1F;ATP6V0D1;STEAP4;ATP6V1E1;ATP6V0C,ECM-high Epithelial,Reactome
prerank,REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,-0.7585830626726742,-1.3586298321761778,0.0,0.0677322101838717,0.992,9/63,5.32%,RPS27A;UBA52;SKP1;UBB;FOS;NFKBIA;HMGB1;JUN;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,-0.7639954652566873,-1.358017883399963,0.002004008016032064,0.06779802722602568,0.992,7/41,5.32%,RPS27A;UBA52;TXN;UBB;FOS;JUN;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,-0.7693701775585298,-1.3572961450677423,0.018404907975460124,0.06813742920650048,0.992,13/26,14.13%,PPIA;RPLP0;MIF;CFL1;SOD1;ARF1;TALDO1;HNRNPF;HNRNPDL;PSME2;CNN2;CDC42;HNRNPA2B1,ECM-high Epithelial,Reactome
prerank,REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,-0.7988798569696396,-1.3561893459200103,0.021929824561403508,0.06909160752510589,0.992,7/16,15.47%,ATP6V0E1;ATP6V1G1;ATP6V0B;ATP6V1F;ATP6V0D1;ATP6V1E1;ATP6V0C,ECM-high Epithelial,Reactome
prerank,REACTOME_INTERLEUKIN_12_SIGNALING,-0.7630828499418554,-1.355823680462467,0.018367346938775512,0.06892964876391248,0.992,14/29,14.13%,PPIA;RPLP0;MIF;CFL1;SOD1;ARF1;TALDO1;P4HB;HNRNPF;HNRNPDL;PSME2;CNN2;CDC42;HNRNPA2B1,ECM-high Epithelial,Reactome
prerank,REACTOME_ONCOGENE_INDUCED_SENESCENCE,-0.7957010500943826,-1.3524729962300348,0.014522821576763486,0.07391029809009725,0.996,5/19,6.66%,RPS27A;UBA52;UBB;UBC;ID1,ECM-high Epithelial,Reactome
prerank,REACTOME_AGGREPHAGY,-0.7860267761099387,-1.3512891435725776,0.006122448979591836,0.07483288034537,0.996,9/26,10.32%,RPS27A;UBA52;UBB;PARK7;DYNLL1;UBC;TUBB4B;TUBA1B;TUBA1C,ECM-high Epithelial,Reactome
prerank,REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS,-0.7825172873103198,-1.3484630138543645,0.006160164271047228,0.07845969489983222,0.998,5/28,5.32%,RPS27A;UBA52;UBB;SUMO2;UBC,ECM-high Epithelial,Reactome
prerank,REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,-0.7973253130501258,-1.3470854802564634,0.023706896551724137,0.07966913421864706,0.998,8/15,14.57%,ACTG1;ACTB;CLTA;TUBB4B;TUBA1B;TUBA1C;AP2M1;CLTB,ECM-high Epithelial,Reactome
